word_one	word_two	avg_surprisals	avg_surprisals
gomma	sedia	15.60107135772705	15.60107135772705
gomma	pennello	13.807907104492188	13.807907104492188
gomma	topo	12.241315841674805	12.241315841674805
cavallo	gomma	16.989776611328125	16.989776611328125
gomma	leone	13.48310661315918	13.48310661315918
gomma	serpente	18.62346076965332	18.62346076965332
gomma	pastello	16.733474731445312	16.733474731445312
gomma	scimmia	15.549467086791992	15.549467086791992
cane	gomma	12.942873001098633	12.942873001098633
gomma	tigre	14.751843452453613	14.751843452453613
gomma	pettine	15.803607940673828	15.803607940673828
camicia	gomma	16.890775680541992	16.890775680541992
gabbiano	gomma	15.502925872802734	15.502925872802734
gomma	tenda	15.220314025878906	15.220314025878906
gomma	letto	13.12826919555664	13.12826919555664
gomma	passero	14.84042739868164	14.84042739868164
gomma	mucca	16.085979461669922	16.085979461669922
gomma	gufo	13.555234909057617	13.555234909057617
gomma	poltrona	18.809165954589844	18.809165954589844
elefante	gomma	17.55209732055664	17.55209732055664
gomma	scopa	15.408315658569336	15.408315658569336
gomma	quaderno	15.640493392944336	15.640493392944336
gomma	vaso	13.892889976501465	13.892889976501465
gomma	spada	14.8226900100708	14.8226900100708
gomma	orso	15.281047821044922	15.281047821044922
gomma	maiale	15.075729370117188	15.075729370117188
gatto	gomma	15.405323028564453	15.405323028564453
gomma	penna	15.369243621826172	15.369243621826172
armadio	gomma	17.55916404724121	17.55916404724121
coniglio	gomma	16.514175415039062	16.514175415039062
giacca	gomma	14.626411437988281	14.626411437988281
pennello	sedia	13.678844451904297	13.678844451904297
sedia	topo	12.873435974121094	12.873435974121094
cavallo	sedia	17.21559715270996	17.21559715270996
leone	sedia	13.456478118896484	13.456478118896484
sedia	serpente	17.54965591430664	17.54965591430664
pastello	sedia	17.79486846923828	17.79486846923828
scimmia	sedia	15.819391250610352	15.819391250610352
cane	sedia	12.413751602172852	12.413751602172852
sedia	tigre	14.663862228393555	14.663862228393555
pettine	sedia	16.070632934570312	16.070632934570312
camicia	sedia	16.914241790771484	16.914241790771484
gabbiano	sedia	15.901678085327148	15.901678085327148
sedia	tenda	15.801464080810547	15.801464080810547
letto	sedia	11.2317476272583	11.2317476272583
passero	sedia	15.436473846435547	15.436473846435547
mucca	sedia	17.5461368560791	17.5461368560791
gufo	sedia	14.654061317443848	14.654061317443848
poltrona	sedia	18.991334915161133	18.991334915161133
elefante	sedia	17.420713424682617	17.420713424682617
scopa	sedia	16.596961975097656	16.596961975097656
quaderno	sedia	16.776580810546875	16.776580810546875
sedia	vaso	15.34134578704834	15.34134578704834
sedia	spada	16.10942840576172	16.10942840576172
orso	sedia	15.201753616333008	15.201753616333008
maiale	sedia	15.315885543823242	15.315885543823242
gatto	sedia	15.43673324584961	15.43673324584961
penna	sedia	15.971405029296875	15.971405029296875
armadio	sedia	17.669710159301758	17.669710159301758
coniglio	sedia	16.64855194091797	16.64855194091797
giacca	sedia	15.913761138916016	15.913761138916016
pennello	topo	9.777753829956055	9.777753829956055
cavallo	pennello	14.066447257995605	14.066447257995605
leone	pennello	13.505544662475586	13.505544662475586
pennello	serpente	17.530500411987305	17.530500411987305
pastello	pennello	14.969465255737305	14.969465255737305
pennello	scimmia	15.322775840759277	15.322775840759277
cane	pennello	11.268777847290039	11.268777847290039
pennello	tigre	12.569077491760254	12.569077491760254
pennello	pettine	14.280582427978516	14.280582427978516
camicia	pennello	15.058974266052246	15.058974266052246
gabbiano	pennello	14.066934585571289	14.066934585571289
pennello	tenda	14.293851852416992	14.293851852416992
letto	pennello	10.720170021057129	10.720170021057129
passero	pennello	13.444625854492188	13.444625854492188
mucca	pennello	16.45995330810547	16.45995330810547
gufo	pennello	14.12697982788086	14.12697982788086
pennello	poltrona	16.25693702697754	16.25693702697754
elefante	pennello	15.073404312133789	15.073404312133789
pennello	scopa	13.941104888916016	13.941104888916016
pennello	quaderno	14.315242767333984	14.315242767333984
pennello	vaso	12.999675750732422	12.999675750732422
pennello	spada	14.221612930297852	14.221612930297852
orso	pennello	13.083430290222168	13.083430290222168
maiale	pennello	14.529186248779297	14.529186248779297
gatto	pennello	13.69883918762207	13.69883918762207
penna	pennello	11.092177391052246	11.092177391052246
armadio	pennello	15.949575424194336	15.949575424194336
coniglio	pennello	16.010208129882812	16.010208129882812
giacca	pennello	14.031238555908203	14.031238555908203
cavallo	topo	13.487764358520508	13.487764358520508
