word_one	word_two	avg_surprisals	avg_surprisals
gomma	sedia	15.409187316894531	15.409187316894531
gomma	pennello	14.658748626708984	14.658748626708984
gomma	topo	13.71516227722168	13.71516227722168
cavallo	gomma	16.689411163330078	16.689411163330078
gomma	leone	14.419584274291992	14.419584274291992
gomma	serpente	18.373580932617188	18.373580932617188
gomma	pastello	15.75863265991211	15.75863265991211
gomma	scimmia	17.507694244384766	17.507694244384766
cane	gomma	13.420278549194336	13.420278549194336
gomma	tigre	13.816390037536621	13.816390037536621
gomma	pettine	17.7116756439209	17.7116756439209
camicia	gomma	17.25982666015625	17.25982666015625
gabbiano	gomma	15.17009162902832	15.17009162902832
gomma	tenda	16.22987174987793	16.22987174987793
gomma	letto	11.397666931152344	11.397666931152344
gomma	passero	14.341634750366211	14.341634750366211
gomma	mucca	15.355863571166992	15.355863571166992
gomma	gufo	13.46786880493164	13.46786880493164
gomma	poltrona	19.62615966796875	19.62615966796875
elefante	gomma	18.0057373046875	18.0057373046875
gomma	scopa	18.42730140686035	18.42730140686035
gomma	quaderno	15.489484786987305	15.489484786987305
gomma	vaso	13.177201271057129	13.177201271057129
gomma	spada	15.971525192260742	15.971525192260742
gomma	orso	13.590578079223633	13.590578079223633
gomma	maiale	14.640422821044922	14.640422821044922
gatto	gomma	14.648948669433594	14.648948669433594
gomma	penna	15.836483001708984	15.836483001708984
armadio	gomma	19.200881958007812	19.200881958007812
coniglio	gomma	16.469825744628906	16.469825744628906
giacca	gomma	16.249685287475586	16.249685287475586
pennello	sedia	15.520359992980957	15.520359992980957
sedia	topo	12.371149063110352	12.371149063110352
cavallo	sedia	16.40904998779297	16.40904998779297
leone	sedia	14.530638694763184	14.530638694763184
sedia	serpente	18.075462341308594	18.075462341308594
pastello	sedia	17.96446990966797	17.96446990966797
scimmia	sedia	17.86233139038086	17.86233139038086
cane	sedia	12.851247787475586	12.851247787475586
sedia	tigre	13.043281555175781	13.043281555175781
pettine	sedia	17.393648147583008	17.393648147583008
camicia	sedia	16.02338981628418	16.02338981628418
gabbiano	sedia	16.370668411254883	16.370668411254883
sedia	tenda	17.38588523864746	17.38588523864746
letto	sedia	11.913928985595703	11.913928985595703
passero	sedia	14.640092849731445	14.640092849731445
mucca	sedia	15.888301849365234	15.888301849365234
gufo	sedia	14.094942092895508	14.094942092895508
poltrona	sedia	20.239253997802734	20.239253997802734
elefante	sedia	18.41547393798828	18.41547393798828
scopa	sedia	17.358694076538086	17.358694076538086
quaderno	sedia	17.474224090576172	17.474224090576172
sedia	vaso	13.686405181884766	13.686405181884766
sedia	spada	14.116769790649414	14.116769790649414
orso	sedia	14.994903564453125	14.994903564453125
maiale	sedia	16.572940826416016	16.572940826416016
gatto	sedia	15.176824569702148	15.176824569702148
penna	sedia	15.695412635803223	15.695412635803223
armadio	sedia	18.197113037109375	18.197113037109375
coniglio	sedia	15.90184211730957	15.90184211730957
giacca	sedia	16.683988571166992	16.683988571166992
pennello	topo	11.80272388458252	11.80272388458252
cavallo	pennello	14.986861228942871	14.986861228942871
leone	pennello	13.62756061553955	13.62756061553955
pennello	serpente	19.06494903564453	19.06494903564453
pastello	pennello	15.479552268981934	15.479552268981934
pennello	scimmia	16.08295249938965	16.08295249938965
cane	pennello	11.275447845458984	11.275447845458984
pennello	tigre	14.38743782043457	14.38743782043457
pennello	pettine	17.47723388671875	17.47723388671875
camicia	pennello	15.993768692016602	15.993768692016602
gabbiano	pennello	14.973798751831055	14.973798751831055
pennello	tenda	16.25027847290039	16.25027847290039
letto	pennello	9.990398406982422	9.990398406982422
passero	pennello	15.035379409790039	15.035379409790039
mucca	pennello	15.054364204406738	15.054364204406738
gufo	pennello	15.584320068359375	15.584320068359375
pennello	poltrona	18.469558715820312	18.469558715820312
elefante	pennello	17.304508209228516	17.304508209228516
pennello	scopa	16.14357566833496	16.14357566833496
pennello	quaderno	14.779399871826172	14.779399871826172
pennello	vaso	14.450309753417969	14.450309753417969
pennello	spada	15.100610733032227	15.100610733032227
orso	pennello	13.245035171508789	13.245035171508789
maiale	pennello	15.426140785217285	15.426140785217285
gatto	pennello	15.258855819702148	15.258855819702148
penna	pennello	13.78815746307373	13.78815746307373
armadio	pennello	18.174610137939453	18.174610137939453
coniglio	pennello	15.704032897949219	15.704032897949219
giacca	pennello	16.746593475341797	16.746593475341797
cavallo	topo	13.359192848205566	13.359192848205566
leone	topo	12.154464721679688	12.154464721679688
serpente	topo	13.486611366271973	13.486611366271973
pastello	topo	12.531501770019531	12.531501770019531
scimmia	topo	13.396821975708008	13.396821975708008
cane	topo	9.644514083862305	9.644514083862305
tigre	topo	11.46879768371582	11.46879768371582
pettine	topo	15.032526016235352	15.032526016235352
camicia	topo	14.983403205871582	14.983403205871582
gabbiano	topo	13.503711700439453	13.503711700439453
tenda	topo	12.471893310546875	12.471893310546875
letto	topo	9.2100248336792	9.2100248336792
passero	topo	10.767376899719238	10.767376899719238
mucca	topo	13.07955551147461	13.07955551147461
gufo	topo	12.415388107299805	12.415388107299805
poltrona	topo	17.422061920166016	17.422061920166016
elefante	topo	13.906694412231445	13.906694412231445
scopa	topo	13.962590217590332	13.962590217590332
quaderno	topo	13.271466255187988	13.271466255187988
topo	vaso	11.33991527557373	11.33991527557373
spada	topo	12.829021453857422	12.829021453857422
orso	topo	12.265077590942383	12.265077590942383
maiale	topo	12.714408874511719	12.714408874511719
gatto	topo	12.039400100708008	12.039400100708008
penna	topo	13.1478910446167	13.1478910446167
armadio	topo	16.022878646850586	16.022878646850586
coniglio	topo	12.62710952758789	12.62710952758789
giacca	topo	11.971466064453125	11.971466064453125
cavallo	leone	15.533309936523438	15.533309936523438
cavallo	serpente	19.36788558959961	19.36788558959961
cavallo	pastello	15.699124336242676	15.699124336242676
cavallo	scimmia	19.083715438842773	19.083715438842773
cane	cavallo	14.502310752868652	14.502310752868652
cavallo	tigre	16.85281753540039	16.85281753540039
cavallo	pettine	18.5816650390625	18.5816650390625
camicia	cavallo	17.59653091430664	17.59653091430664
cavallo	gabbiano	16.734432220458984	16.734432220458984
cavallo	tenda	16.247970581054688	16.247970581054688
cavallo	letto	11.313299179077148	11.313299179077148
cavallo	passero	16.298744201660156	16.298744201660156
cavallo	mucca	15.927238464355469	15.927238464355469
cavallo	gufo	17.01276206970215	17.01276206970215
cavallo	poltrona	19.70465850830078	19.70465850830078
cavallo	elefante	20.241748809814453	20.241748809814453
cavallo	scopa	17.642253875732422	17.642253875732422
cavallo	quaderno	15.702238082885742	15.702238082885742
cavallo	vaso	14.45736312866211	14.45736312866211
cavallo	spada	18.146394729614258	18.146394729614258
cavallo	orso	15.410070419311523	15.410070419311523
cavallo	maiale	17.571264266967773	17.571264266967773
cavallo	gatto	16.502887725830078	16.502887725830078
cavallo	penna	16.20738410949707	16.20738410949707
armadio	cavallo	19.189620971679688	19.189620971679688
cavallo	coniglio	17.59560775756836	17.59560775756836
cavallo	giacca	17.553682327270508	17.553682327270508
leone	serpente	17.609535217285156	17.609535217285156
leone	pastello	14.82850170135498	14.82850170135498
leone	scimmia	15.816489219665527	15.816489219665527
cane	leone	10.655691146850586	10.655691146850586
leone	tigre	13.22463607788086	13.22463607788086
leone	pettine	15.06762409210205	15.06762409210205
camicia	leone	14.08188247680664	14.08188247680664
gabbiano	leone	14.882044792175293	14.882044792175293
leone	tenda	15.864364624023438	15.864364624023438
leone	letto	9.304950714111328	9.304950714111328
leone	passero	13.662717819213867	13.662717819213867
leone	mucca	14.587179183959961	14.587179183959961
gufo	leone	13.256982803344727	13.256982803344727
leone	poltrona	17.76416778564453	17.76416778564453
elefante	leone	16.33584976196289	16.33584976196289
leone	scopa	15.192852973937988	15.192852973937988
leone	quaderno	14.74392318725586	14.74392318725586
leone	vaso	11.922317504882812	11.922317504882812
leone	spada	15.698582649230957	15.698582649230957
leone	orso	12.698812484741211	12.698812484741211
leone	maiale	14.367627143859863	14.367627143859863
gatto	leone	13.836057662963867	13.836057662963867
leone	penna	14.226099014282227	14.226099014282227
armadio	leone	16.48647117614746	16.48647117614746
coniglio	leone	14.044224739074707	14.044224739074707
giacca	leone	15.413641929626465	15.413641929626465
pastello	serpente	20.05902099609375	20.05902099609375
scimmia	serpente	21.161731719970703	21.161731719970703
cane	serpente	15.528472900390625	15.528472900390625
serpente	tigre	17.73117446899414	17.73117446899414
pettine	serpente	21.417675018310547	21.417675018310547
camicia	serpente	20.810434341430664	20.810434341430664
gabbiano	serpente	20.497928619384766	20.497928619384766
serpente	tenda	18.859464645385742	18.859464645385742
letto	serpente	14.586359977722168	14.586359977722168
passero	serpente	17.546480178833008	17.546480178833008
mucca	serpente	18.544607162475586	18.544607162475586
gufo	serpente	18.119918823242188	18.119918823242188
poltrona	serpente	22.260147094726562	22.260147094726562
elefante	serpente	21.665695190429688	21.665695190429688
scopa	serpente	19.680368423461914	19.680368423461914
quaderno	serpente	20.216808319091797	20.216808319091797
serpente	vaso	17.764606475830078	17.764606475830078
serpente	spada	19.174524307250977	19.174524307250977
orso	serpente	16.4061336517334	16.4061336517334
maiale	serpente	20.066274642944336	20.066274642944336
gatto	serpente	19.941926956176758	19.941926956176758
penna	serpente	19.20574188232422	19.20574188232422
armadio	serpente	22.53524398803711	22.53524398803711
coniglio	serpente	20.668453216552734	20.668453216552734
giacca	serpente	18.321685791015625	18.321685791015625
pastello	scimmia	17.967187881469727	17.967187881469727
cane	pastello	14.630590438842773	14.630590438842773
pastello	tigre	15.649009704589844	15.649009704589844
pastello	pettine	17.611865997314453	17.611865997314453
camicia	pastello	17.49143409729004	17.49143409729004
gabbiano	pastello	15.078346252441406	15.078346252441406
pastello	tenda	16.19187355041504	16.19187355041504
letto	pastello	11.760234832763672	11.760234832763672
passero	pastello	14.49761962890625	14.49761962890625
mucca	pastello	16.231407165527344	16.231407165527344
gufo	pastello	15.409000396728516	15.409000396728516
pastello	poltrona	17.962844848632812	17.962844848632812
elefante	pastello	19.40680503845215	19.40680503845215
pastello	scopa	17.105728149414062	17.105728149414062
pastello	quaderno	17.466739654541016	17.466739654541016
pastello	vaso	15.983952522277832	15.983952522277832
pastello	spada	15.045218467712402	15.045218467712402
orso	pastello	14.468958854675293	14.468958854675293
maiale	pastello	16.694612503051758	16.694612503051758
gatto	pastello	16.006189346313477	16.006189346313477
pastello	penna	17.127565383911133	17.127565383911133
armadio	pastello	17.946178436279297	17.946178436279297
coniglio	pastello	17.531768798828125	17.531768798828125
giacca	pastello	16.518112182617188	16.518112182617188
cane	scimmia	12.525718688964844	12.525718688964844
scimmia	tigre	15.806827545166016	15.806827545166016
pettine	scimmia	19.361923217773438	19.361923217773438
camicia	scimmia	18.729707717895508	18.729707717895508
gabbiano	scimmia	17.847091674804688	17.847091674804688
scimmia	tenda	16.476116180419922	16.476116180419922
letto	scimmia	13.398686408996582	13.398686408996582
passero	scimmia	17.15070152282715	17.15070152282715
mucca	scimmia	16.933635711669922	16.933635711669922
gufo	scimmia	16.20293426513672	16.20293426513672
poltrona	scimmia	21.372926712036133	21.372926712036133
elefante	scimmia	20.812950134277344	20.812950134277344
scimmia	scopa	17.51801109313965	17.51801109313965
quaderno	scimmia	18.59368324279785	18.59368324279785
scimmia	vaso	15.615364074707031	15.615364074707031
scimmia	spada	17.248464584350586	17.248464584350586
orso	scimmia	15.799619674682617	15.799619674682617
maiale	scimmia	17.975284576416016	17.975284576416016
gatto	scimmia	17.38956642150879	17.38956642150879
penna	scimmia	17.316761016845703	17.316761016845703
armadio	scimmia	20.85150909423828	20.85150909423828
coniglio	scimmia	18.303129196166992	18.303129196166992
giacca	scimmia	18.14814567565918	18.14814567565918
cane	tigre	10.777545928955078	10.777545928955078
cane	pettine	12.939299583435059	12.939299583435059
camicia	cane	12.499521255493164	12.499521255493164
cane	gabbiano	12.947080612182617	12.947080612182617
cane	tenda	11.795809745788574	11.795809745788574
cane	letto	8.033384323120117	8.033384323120117
cane	passero	11.1580228805542	11.1580228805542
cane	mucca	9.18176555633545	9.18176555633545
cane	gufo	11.41994857788086	11.41994857788086
cane	poltrona	16.042070388793945	16.042070388793945
cane	elefante	14.237519264221191	14.237519264221191
cane	scopa	14.439824104309082	14.439824104309082
cane	quaderno	12.858512878417969	12.858512878417969
cane	vaso	10.963829040527344	10.963829040527344
cane	spada	10.8851900100708	10.8851900100708
cane	orso	10.966903686523438	10.966903686523438
cane	maiale	11.022802352905273	11.022802352905273
cane	gatto	11.912378311157227	11.912378311157227
cane	penna	11.13670825958252	11.13670825958252
armadio	cane	14.879015922546387	14.879015922546387
cane	coniglio	11.594484329223633	11.594484329223633
cane	giacca	11.577535629272461	11.577535629272461
pettine	tigre	16.19060516357422	16.19060516357422
camicia	tigre	15.478158950805664	15.478158950805664
gabbiano	tigre	16.725221633911133	16.725221633911133
tenda	tigre	14.553266525268555	14.553266525268555
letto	tigre	9.328903198242188	9.328903198242188
passero	tigre	13.75762939453125	13.75762939453125
mucca	tigre	15.89181900024414	15.89181900024414
gufo	tigre	15.446422576904297	15.446422576904297
poltrona	tigre	17.498546600341797	17.498546600341797
elefante	tigre	18.052953720092773	18.052953720092773
scopa	tigre	14.83172607421875	14.83172607421875
quaderno	tigre	14.877042770385742	14.877042770385742
tigre	vaso	13.557043075561523	13.557043075561523
spada	tigre	14.308357238769531	14.308357238769531
orso	tigre	13.556589126586914	13.556589126586914
maiale	tigre	15.831598281860352	15.831598281860352
