corpus	sentence
itwac	A parte la montagna di rifiuti su cui volano migliaia di [SEP] gabbiani [SEP] , cornacchie , taccole , Poiane e Nibbi reali , è la diaspora delal plastica che ci fa stringere il cuore .
itwac	Il pianeta sincro tinto di blu Momento storico ai Primaverili esordienti A. Marco Minisini è il primo uomo italiano a partecipare ad un campionato nazionale di nuoto sincronizzato sabato 16 aprile 2005 PALERMO - Dopo 28 anni di sincro sempre e solo femminile , un atleta è sceso in vasca , in rappresentanza del [SEP] Gabbiano [SEP] Ladispoli .
itwac	Accanto alla selezione delle opere della Collezione Wolfson , alla Palazzina delle Arti è possibile visitare la mostra " Marinettiana " , ad opera del Circolo Culturale " Il [SEP] Gabbiano [SEP] " , allo scopo di celebrare il settantesimo anniversario della fondazione del Premio del Golfo della Spezia , voluto da Filippo Tommaso Marinetti nel 1933 .
itwac	Ferule - foto di M. Sighele LA CHECK LIST COMPLETA Tuffetto Tachybaptus ruficollis Little Grebe Svasso maggiore Podiceps cristatus Great Crested Grebe Sula Morus bassanus Gannet Tarabuso Botaurus stellaris Bittern Tarabusino Ixobrychus minutus Little Bittern Nitticora Nycticorax nycticorax Night Heron Sgarza ciuffetto Ardeola ralloides Squacco Heron Garzetta Egretta garzetta Little Egret Airone cenerino Ardea cinerea Grey Heron Airone rosso Ardea purpurea Purple Heron Cicogna bianca Ciconia ciconia White Stork Mignattaio Plegadis falcinellus Glossy Ibis Spatola Platalea leucorodia Spoonbill Fenicottero Phoenicopterus ruber Greater Flamingo Volpoca Tadorna tadorna Shelduck Fischione Anas penelope Wigeon Canapiglia Anas strepera Gadwall Germano reale Anas platyrhynchos Mallard Marzaiola Anas querquedula Garganey Mestolone Anas clypeata Shoveler Falco di palude Circus aeruginosus Marsh Harrier Albanella minore Circus pygargus Montagu 's Harrier Albanella pallida Circus macrourus Pallid Harrier Sparviere Accipiter nisus Sparrohawk Poiana Buteo buteo Common Buzzard Falco pescatore Pandion haliaetus Osprey Gheppio Falco tinnunculus Kestrel Falco cuculo Falco vespertinus Red footed Falcon Lodolaio Falco subbuteo Hobby Quaglia Coturnix cotunix Quail Gallinella d' acqua Gallinula chloropus Moorhen Folaga Fulica atra Coot Occhione urhinus oedicnemus Stone Curlew Gru Grus grus Crane Pernice di mare Glareola pratincola Collared Pratincole Cavaliere d' Italia Himantopus himantopus Black-winged Stilt Avocetta Recurvirostra avosetta Avocet Corriere piccolo Charadrius dubius Little Ringed Plover Corriere grosso Charadrius hiaticula Ringed Plover Fratino Charadrius alexandrinus Kentish Plover Pivieressa Pluvialis squatarola Grey Plover Gambecchio Calidris minuta Little Stint Piovanello Calidris ferruginea Curlew Sandpiper Piovanello pancianera Calidris alpina Dunlin Combattente Philomachus pugnax Ruff Chiurlo piccolo Numenius phaeopus Whimbrel Chiurlo maggiore Numenius arquata Curlew Totano moro Tringa erythropus Spotted Redshank Pantana Tringa nebularia Greenshank Piro piro boschereccio Tringa glareola Wood Sandpiper Piro piro piccolo Actitis hypoleucos Common Sandpiper [SEP] Gabbiano [SEP] corallino Larus melanocephalus Mediterranean Gull Gabbiano comune Larus ridibundus Black-headed Gull Gabbiano roseo Larus genei Slender-billed Gull Gabbiano reale Larus michahellis Yellow-legged Gull Gabbiano del Caspio Larus cachinnans Caspian Gull Sterna zampenere Gelochelidon nilotica Gull-billed Tern Sterna comune Sterna hirundo Common Tern Beccapesci Sterna sandvicensis Sandwich Tern Fraticello Sterna albifrons Little Tern Mignattino alibianche Chlidonias leucopterus White-winged Black Tern Mignattino Chlidonias niger Black Tern Colombaccio Columba palumbus Woodpigeon Tortora dal collare Streptopelia decaocto Collared Dove Tortora Streptopelia turtur Turtle Dove Cuculo Cuculus canorus Cuckoo Allocco Strix aluco Tawny Owl Gufo comune Asio otus Long-eared Owl Rondone Apus apus Common Swift Rondone pallido Apus pallidus Pallid Swift Rondone maggiore Apus melba Alpine Swift Gruccione Bee Merops apiaster eater Upupa Upupa epops Hoopoe Picchio verde Picus viridis Green Woodpecker Picchio rosso mezzano Dendrocopu medius Middle-spott .
itwac	un altro po' un gigante si mangia un [SEP] gabbiano [SEP] facendo saltar fuori un branco di alici un metro abbondante fuori dall' acqua .
itwac	Al ritorno , con cautela ( non firma gli spettacoli , li fa dirigere da giovani registi con la sua supervisione ) , Stanislavskij si apre al repertorio sovietico con uno spettacolo che ottiene grande successo e viene definito « Il [SEP] gabbiano [SEP] della nuova era » : I giorni dei Turbin di Bulgakov ( 1926 ) .
itwac	Sono anche loro cacciasfere e , come è evidente , sono le antagoniste dei [SEP] Gabbiani [SEP] nella caccia alle sfere .
itwac	Il [SEP] Gabbiano [SEP] del Caspio ha invece distribuzione decisamente più orientale , è comunissimo sul versante ionico della Sicilia , ed è piuttosto comune anche in Puglia .
itwac	Mai sazi [SEP] gabbiani [SEP] banchettano brandelli di anima e si levano in volo .
itwac	penso ci possano essere i barracuda perchè so che dove ci sono loro ci sono molti [SEP] gabbiani [SEP] .
