corpus	sentence
itwac	Milano e Roma fanno la parte del [SEP] leone [SEP] , se qualcuno ha altri posti da consigliare può lasciarli qui ...
itwac	[SEP] LEONE [SEP] Gianfranco ( FI ) , relatore Accoglie l' osservazione e pertanto reintroduce l' articolo 13 , nella stesura originaria .
itwac	con : Nicolas CAGE , Téa [SEP] LEONI [SEP] , Don CHEADLE , Jeremy Piven , Saul Rubinek Scritto da : David Diamond & David Weissman Musiche : Danny Elfman Durata : 125 min. circa Anno © 2000 Prezzo al pubblico Euro 7,99 Cosa succederebbe se ...
itwac	inviato il 23.07.2004 19:27:43 Modern toro ascendente [SEP] leone [SEP] ...
itwac	Vuoi farci credere che è meglio [SEP] leoni [SEP] in Eccellenza , con il Bibbiano , per la Reggiana .
itwac	E non solo ai grandi protagonisti del mondo animale , come elefanti , [SEP] leoni [SEP] , orsi e tigri , ma anche a comprimari come coleotteri , pipistrelli , meduse e migliaia di altri ancora ...
itwac	Il nuovo cimento del filmaker neozelandese sarà Il [SEP] leone [SEP] , la strega e l' armadio , fiaba tratta da una fortunata serie di racconti di Clive Staples Lewis che riscuotono ininterrotto successo nel Paese australe sin dal loro primo apparire , negli anni Cinquanta del secolo scorso .
itwac	Contiene , infatti , un gene chimerico composto cioè da due porzioni : una derivante dal gene di una pianta , la bocca di [SEP] leone [SEP] , e l' altra dal gene di un batterio .
itwac	Secondo l' Eurispes , quasi 3.000 italiani possiedono un felino esotico ( [SEP] leone [SEP] , pantera , leopardo , ecc. ) , mentre sono 60.000 i proprietari di rettili e quasi 30.000 coloro che possiedono testuggini terrestri .
itwac	LA REPLICA CARLO [SEP] LEONI [SEP] .
itwac	Mogi è il vice capo di Baghy e famoso domatore di animali feroci , vorrebbe sconfiggere Zoro con l' aiuto del suo [SEP] leone [SEP] Richy : viene invece malmenato per benino da un furiosissimo Rufy .
itwac	Gianclaudio BRESSA ( MARGH-U ) , Carlo [SEP] LEONI [SEP] ( DS-U ) e Graziella MASCIA ( RC ) si associano alla dichiarazione di voto contrario espressa dal deputato Boato .
itwac	Il progetto e' del ' centro stile ' della casa del [SEP] leone [SEP] ed i canoni estetici restano strettamente ancorati a quelli inaugurati con la 407 .
itwac	La realtà , dimostrata dalle inequivoche risultanze dibattimentali , conforta il giudizio di piena responsabilità anche del [SEP] leone [SEP] a titolo di compartecipazione nell' azione delittuosa posta in essere dall' Avella , che per le modalità temporali e spaziali in cui si è svolta è sicuramente rimasta a livello di tentativo , per il pronto intervento posto in essere sai responsabili della caserma sul momento intervenuti .
itwac	57 - De cervo et [SEP] leone [SEP] - Paolo II ( 1464 - 1471 ) Pietro Barbo era stato cardinale di San Marco ( evangelista che ha per simbolo un leone alato ) e cardinale commendatario della Chiesa di Cervia .
itwac	Per numero di specie saccheggiate , la parte del [SEP] leone [SEP] spetta invece ai mammiferi ( 54 specie su 178 ) , e uccelli i ( 50 ) , seguiti da carnivori ( 24 ) , roditori ( 23 ) , insetti ( 12 ) e infine rettili ( 5 ) .
itwac	La riserva ospita inoltre varie specie ornitologiche ( circa 270 ) , molte delle quali rare altrove , e un piccolo centro di assistenza per gli animali ; qui potrete vedere , tra gli altri , iene , [SEP] leoni [SEP] , il tragelafo ( piccola antilope africana ) e varie specie di scimmie .
itwac	Antonio [SEP] LEONE [SEP] ( gruppo di forza Italia ) stigmatizza il comportamento del Governo , il quale , come rilevato dallo stesso relatore , nell' elaborare lo schema di decreto legislativo non ha tenuto conto del lavoro svolto dalla Commissione nel corso dell' esame dei progetti di legge sulla istituzione dell' Ente tabacchi italiani ; ritiene altresì che i rilievi avanzati dal relatore si riferiscano per lo più ad aspetti di carattere formale del testo .
itwac	Chicago Tribune 14.10.2001 MUSEI Glasgow ed Edimburgo rivali anche per i finanziamenti ai musei I musei di Glasgow accolgono più visitatori di quelli di Edimburgo , ma Edimburgo fa la parte del [SEP] leone [SEP] quando si tratta di spartirsi i finanziamenti governativi .
itwac	Se metti " Agua " in una discoteca latina * standard * dove magari sono abituati a sentire musica salsa un po' più * canzonetta * , forse riesci anche a svuotare una pista , soprattutto se questa é fatta da persone che hanno imparato il ballo in un certo modo , cioè quello della coreografia , se hanno imparato un po' anche a ballare invece l' accettazione é scontata per una musica più varia , più tipica e al netto di pregiudizi , quella cubana fa anche la parte da [SEP] leone [SEP] ...
itwac	Noi vogliamo undici [SEP] leoni [SEP] !
itwac	CARLO [SEP] LEONI [SEP] .
itwac	" Il [SEP] leone [SEP] è libero "
itwac	Ok saluti da Mirko # 17 : Autore : branca  [SEP] leone [SEP] , Località di residenza : Venezia Inviato : Mar Giu 07 , 2005 8:22 pm Ciao , se sono varietà di castelli e siracusana , puoi metterti il cuore in pace , in questo periodo i catalghi in generale si astengono dal quotarle , dato che sono talmente tante e perciò non valutabili , se hai bolli classici , periodo regno o giù di lì , allora sì puoi avere per le varietà qualche ritorno economico .
itwac	Non conoscono né una piazza , né un luogo per deliberare , né una casa , ma abitano le cavità della montagna senza parlare degli altri , abita qui il più selvaggio tra loro , Polifemo , figlio di Poseidone , il cui unico sopracciglio si distende sul suo unico occhio e il suo naso appiattito giunge fin sul labbro , si ciba di uomini alla maniera di un [SEP] leone [SEP] feroce .
itwac	Arma : Spaccato inchiavato d' oro e d' azzurro , ad un [SEP] leone [SEP] movente dall' inchiavatura leopardito di nero .
itwac	" Uomo non vide mai un [SEP] leone [SEP] asservito ad un leone né un cavallo ad un cavallo per viltà , come un uomo è asservito ad un uomo , incline ad accettare la schiavitù , una condizione che prende il nome dalla viltà .
itwac	Questa costellazione contiene molte stelle brillanti , come Regulus ( ± Leo ) , il cuore del [SEP] leone [SEP] ; Denebola ( ² Leo ) e Algieba ( ³ 1 Leo ) .
itwac	CARLO [SEP] LEONI [SEP] .
itwac	- interruppe don Gesualdo a quella notizia , coraggioso come un [SEP] leone [SEP] .
itwac	L' ariete , governa la testa ; il toro , la gola ; i gemelli le braccia , le gambe ed i polmoni ; il cancro la ghiandola timo ; il [SEP] leone [SEP] , il cuore ; la vergine , il ventre , gli intestini ; la bilancia , i reni ; lo scorpione , gli organi sessuali ; il sagittario , le grandi arterie femorali ; il capricorno , le ginocchia ; l' acquario , i pol ­ pacci ; i pesci , i piedi .
itwac	Il reparto si è formato inglobando il 1 ° Reparto Elicotteri di Uso Generale ed il 1 ° Reparto Elicotteri Medi che , ristrutturati , hanno assunto le denominazioni di · 11 ° GRUPPO SQUADRONI ETM " ERCOLE " , 12 ° GRUPPO SQUADRONI ETM " GRU , 51 ° GRUPPO SQUADRONI EM " [SEP] LEONE [SEP] " .
itwac	Lo stemma è a scudo su cui sono rappresentati un gallo e un [SEP] leone [SEP] .
itwac	Mi sono ricordata in quel momento che in Africa una studiosa di leoni ci aveva detto che se si incontra un [SEP] leone [SEP] aggressivo bisogna alzare la voce e gridargli di andarsene con tono deciso .
itwac	I ragazzi hanno dovuto rispondere a domande sui libri delle Cronache di Narnia e precisamente sono stati sorteggiati i primi due episodi dal titolo " Il nipote del Mago " e " Il [SEP] leone [SEP] la strega e l' armadio " .
itwac	" ( Jonathan Bimbi ) " Per me la savana è una spiaggia d' erba e l' Africa è un continente con tanti animali , ad esempio la leonessa , il [SEP] leone [SEP] , il leopardo e l' elefante .
itwac	Delacroix termina la Caccia al [SEP] leone [SEP] .
itwac	( Vedi QUI i singoli periodi in " RIASSUNTI DELLA STORIA D' ITALIA " ) *** ELEZIONE DI PAPA GIOVANNI X ( pontificato 914 - 928 ) *** NEL CAOS DI COSTANTINOPOLI : [SEP] LEONE [SEP] FOCA *** ROMA - Morto in febbraio Papa Landone , viene eletto in marzo GIOVANNI X. Costui nacque a Tossignano ( nei pressi di Imola ) attorno all' anno 860 , dopo aver intrappreso una giovanile carriera ecclesiastica fu ordinato diacono dal vescovo Pietro di Bologna .
itwac	La lanterna con la coppia di [SEP] leoni [SEP] del tempio Pôpchusa nella regione Ch ' ungch ' ông-pukto , o la lanterna con la coppia di leoni del tempio Yôngamsa di Hapch ' ôn nella regione Kyôngsang-namdo , sono costituite dalle stesse parti fondamentali delle altre lanterne , ma in una forma modificata .
itwac	Tre anni c' ha messo per fare questo disco , ricerche musicali , riscoperte di vecchi [SEP] leoni [SEP] ( Guerrero , Don Tosti , intanto deceduti , a cui sarà risparmiato il can can in stile Buena Vista , quasi mi viene da dire per fortuna ) , ma anche una ricerca storica incredibile .
itwac	Questo era il terribile [SEP] leone [SEP] Ursus del gigante manifesto ma Riccardo ora aveva troppo da fare doveva togliere la tenda e Ursus non si toglieva dai piedi allora gli ordinò " Ursus vai a dormire togliti dai piedi vai a cuccia " Ursus aveva un difetto era permaloso queste parole del suo domatore e il tono autoritario lo offesero , era sempre stato il suo amico Riccardo a d accompagnarlo a dormire e questo suo atteggiamento lo aveva offeso , ammetteva di non sentirsi un leone ma essere trattato come una pecora era il colmo , mentre s' avviava verso il suo giaciglio ripensava a tutti quegli applausi che aveva avuto lui il leone Ursus il terrore di tutti i circhi del mondo .
itwac	Sul primo livello , quello basamentale , poggiano le figure allegoriche : due [SEP] leoni [SEP] , simbolo della forza , che proteggono la porta che da accesso al sepolcro , il genio della morte e la figura femminile con la croce in mano simbolo della Religione .
itwac	ANTONIO [SEP] LEONE [SEP] .
itwac	Da un gruppo di [SEP] leoni [SEP] che sono stati attratti dal pianto della piccola .
itwac	( 18 ) " Illum ita salva virginitate edidit , quemadmodum salva virginitate concepit " ( S. [SEP] LEONE [SEP] M. , Epist .
itwac	Alla base delle edicole due [SEP] leoni [SEP] molto aggettanti .
itwac	Quindi secondo la legge 150/92 , i circhi italiani non avrebbero più potuto tenere tigri , [SEP] leoni [SEP] , ippopotami , elefanti , rinoceronti , scimmie e tanti altri .
itwac	Il ruggito del [SEP] leone [SEP] Pioggia di star per la 61 esima edizione della mostra del cinema di Venezia : in concorso tre film italiani « Questo non è superLocarno , SuperTorino , o superRotterdam .
itwac	Chi dovrebbe ripensarci è proprio Ruggiero , integralista cattolico , poiché con tutti i casi di preti pedofili , si dovrebbe guardare bene dall' iscrivere i propri figli nelle loro scuole ; e in aggiunta la maggior parte dei preti è gay , ovviamente non dichiarati , ed insegnanti : manderebbe i propri figli nella fossa dei [SEP] leoni [SEP] .
itwac	Gemma e Giada i gioielli del derby Asia regina degli inglesi Trofei ENCI 2003 Ellen Hidding : " Il mio Curt è meraviglioso " Lo Standard e la bellezza " Medicina comportamentale degli animali d' affezione " ' width = '14 ' height = '17 ' Master in " Medicina comportamentale degli animali d' affezione " Il Collare d' oro di Xenos Joselito La carezza del [SEP] leone [SEP] Trionfa l' italiano Rupert La dignita' dell' Husky Brione : accademia del segugio La dignita' dell' Husky Quando , ormai undici anni fa , nella mia vita irruppe il Siberian Husky , capii immediatamente che questa razza mi sarebbe entrata nel cuore .
itwac	Segnala al moderatore Loggato cireno Veterano del forum Offline Post : 1728 Guarda il Profilo | E-Mail | Re : NESSUNO PAGHI IL CANONE RAI « Risposta # 7 data : Martedì 06 Gennaio 2004 , 16:38 » | Rispondi citando Poi ci sono ancora dei bellisimi documentari ( non quelli sugli animali perchè trovo puro sadismo mostrare [SEP] leoni [SEP] e iene che sbranano poveri animali più deboli ) , anna Cara anna , Anch' io avevo di questi problemi , poi in Africa , paese che amo enormente , mi hanno spiegato che la vita di un carnivoro è molto , molto più difficile e complicato di quella degli erbivori , che oltre a vivere meglio vivono anche più a lungo .
itwac	E' l' idiozia di quello che noi chiediamo ai cavalli e la loro paziente risposta , il loro piacere di assecondarci , la necessità della nostra amicizia , che li buggera , altrimenti forse ne sarebbero rimasti ben pochi e limitati in alcuni punti dell' America , della Russia e forse dell' Australia ; un po' come sono rimaste poche tigri , pochi [SEP] leoni [SEP] o pochi elefanti , limitati in alcune aeree geografiche e a rischio di estinzione .
itwac	Da : [SEP] leone [SEP] 007 47 22:17 | 1 Agosto Tanti Auguri di Buon Compleanno ...
itwac	Il [SEP] leone [SEP] riprende la sua passeggiata finche' non vede una gazzella ; la rincorre , la raggiunge e le sibila : " Dimmi gazzella , chi e' il re della foresta ?
itwac	Anche quest' anno la parte del [SEP] leone [SEP] ( con 4,8 miliardi , il 22,3 % della spesa ) la farà l' abbigliamento .
itwac	Autore : Data : 21 Ottobre 2004 A scuola ci avevano insegnato che " il [SEP] leone [SEP] mangia l' uomo solo quando ha fame " .
