corpus	sentence
itwac	I settori merceologici speciali di cui all' art. 3 , comma 2 , della L.R. n. 8/1999 vengono così definiti : A - TABELLA PER TITOLARI DI FARMACIA  Prodotti dietetici per l' infanzia , gli anziani e gli ammalati ;  Articoli per la cura e l' igiene della persona , inclusi callifughi , cerotti , garze , siringhe , profilattici , assorbenti igienici , pannoloni per adulti , cotone idrofilo ;  Articoli di puericultura , quali biberon , scalda biberon , bagnetti , spargi talco , ciambelle lavatesta , accessori per il bagno , spugne , termometri , accappatoi per neonati , pannolini e tutine assorbenti , vasini igienici anatomici , indumenti per neonati e per la prima infanzia di speciale tessuto filtrante ad allergenicità controllata , lenzuolini di gomma o filtranti per neonati ;  Apparecchi propedeutici allo sviluppo dell' attività sensoriale e visiva del bambino parzialmente ritardato , quali attrezzature montessoriane ;  Articoli per la sicurezza e la custodia del bambino nella deambulazione e nel riposo , quali bretelle sostenitrici e prime attrezzature per la custodia del bambino , tipo infantseat ;  Bilance per neonati e per adulti ;  Busti , guaine , panciere correttivi e curativi , calze collant elastici contenitrici per varici , preventivi e curativi ;  Cinti , cavigliere , ginocchiere , polsini elastici , guanti di gomma per la casa ;  Indumenti e biancheria preparati e predisposti esclusivamente allo scopo di coadiuvare i trattamenti dimagranti ;  Indumenti in tessuto termico creati allo scopo di coadiuvare il trattamento farmacologico in soggetti reumatici ;  Massaggiatori , articoli di massoterapia ;  Prodotti per la cura del capello : lozioni , creme , shampoo medicato ( e mezzi per il loro impiego : spazzole e [SEP] pettini [SEP] ) ed altri cosmetici destinati ad essere messi a contatto con la pelle o con le mucose , con esclusione dei concentrati e delle essenze ;  Amari , liquori , vini e pastigliaggi medicati ;  Polveri per acque da tavola ;  Alimenti per piccoli animali ;  Disinfettanti , disinfestanti per uso animale e per ambienti ; insetticidi per uso umano e per uso veterinario e prodotti chimici in genere non di uso farmaceutico ;  Complementi alimentari speciali , anche preconfezionati .
itwac	Hosseine ha parlato : voleva un [SEP] pettine [SEP] e toccandosi la testa ha trovato solo la parola cappello , ha detto dormire ma voleva dire sdraiarsi .
itwac	Gioite dei fiori dell' illuminazione nella loro stagione e raccogliete i frutti della retta via ( Buddha ) La maggior parte dei conflitti che ci angustiano fa pensare alla lotta di due calvi per un [SEP] pettine [SEP] ( J. L. Borges ) Ma è vero , essi la temono più che la morte , la bellezza è temuta più che la morte , più di quanto essi temano la morte ( W. C. Williams )
itwac	MORATTI , LA SCUOLA CHE NON C' È Editoriale di Vittora Franco , senatrice Ds - L' Unità toscana del 14 gennaio I nodi della riforma Moratti stanno venendo al [SEP] pettine [SEP] e tutti possono vederne gli effetti .
itwac	23 novembre 2004 Comunicato stampa : COOPERATIVA " IL CARDINE " , INTERROGAZIONE DI SGHERRI , NOCENTINI , PIERI , [SEP] PETTINI [SEP] , DE ZORDO E MALAVOLTI 23 novembre 2004 Comunicato stampa : DIRITTO DI VOTO AGLI EXTRACOMUNITARI ED ELEZIONI AMMINISTRATIVE , « TAVOLO REGIONALE DOVE STUDIARE GLI ASPETTI LEGALI » 23 novembre 2004 Comunicato stampa : CAMPING PIAZZALE MICHELANGELO , COINVOLGERE IL CONSIGLIO COMUNALE PRIMA CHE SIA TROPPO TARDI 13 novembre 2004 Comunicato stampa : SOCIETÀ DELLA SALUTE : SI VERIFICHI L' ATTUAZIONE DEGLI INDIRIZZI ESPRESSI DAL CONSIGLIO COMUNALE 11 novembre 2004 Mozione : Linea bus 39 due nuove corse per permettere ai lavoratori I.O.T. di usufruire di questo servizio per l' entrata in turno 9 novembre 2004 Comunicato stampa : ANNIVERSARIO STRAGE DI NASSIRIYA : " E' GIUSTO RICORDARE TUTTE LE VITTIME DEL CONFLITTO IN IRAQ " 9 novembre 2004 Comunicato stampa : ALTA VELOCITÀ E " SCAVALCO " FRA CASTELLO E RIFREDI : " CONTRARI AL PROGETTO .
itwac	E qui , anche : " I capelli crepitavano sotto il [SEP] pettine [SEP] come fossero elettrici , e più di una volta presero fuoco , con fiamme vere e proprie , che li lambivano e subito si spegnevano , alla maniera dei fuochi fatui nei cimiteri .
itwac	Il pelo si trasformò in una massa di DredLocks che vinceva contro ogni tipo di spazzola o [SEP] pettine [SEP] .
itwac	« Ecco perché - dice Giacomo Grondona ( nella foto ) - i nodi sono arrivati al [SEP] pettine [SEP] , ecco perché ci vuole un riequilibrio nell' assetto di giunta : non per le poltrone , ma per bilanciare anche la maggioranza .
itwac	In questi mesi c' e' stata una levata di scudi contro gli organismi geneticamente modificati e ora i nodi vengono al [SEP] pettine [SEP] .
itwac	» Che è appunto il [SEP] pettine [SEP] a cui vengono in ultimo tutti i nodi .
