corpus	sentence
itwac	La baronessa Scravaglio : " Certo bella non è , pare una [SEP] scimmia [SEP] albina " .
itwac	Tramite cavi collegati direttamente al cervello , le [SEP] scimmie [SEP] utilizzate per l' esperimento hanno trasmesso comandi ad un robot e ben presto saranno in grado di ottenere lo stesso risultato ' wireless ' , senza alcun tipo di cablatura .
itwac	La [SEP] scimmia [SEP] che loro osservano lassù sull' albero è una di quelle che si chiamano volgarmente bertucce e che vivono abitualmente in cima agli alberi delle foreste vergini , dove si nutrono di bucce di cocomero , di torsoli di cavolo e di tutto quel che si trova a portata delle loro mani .
itwac	Per la narrativa italiana sono stati proclamati vincitori Arnaldo Colasanti ( con " Gatti e [SEP] scimmie [SEP] " , Rizzoli ) , Romana Petri ( con " La donna delle Azzorre " , Piemme ) , Margaret Mazzantini ( con " Non ti muovere " , Mondadori ) ; per la narrativa straniera : il peruviano Alfredo Bryce Echenique ( con " La tonsillite di Tarzan " , Guanda ) , il tedesco Christoph Hein ( con " Willenbrock " , Edizioni e / o ) , il turco Orhan Pamuk ( con " Il mio nome è rosso " , Einaudi ) ; per la saggistica : Paolo Cesaretti ( con " Teodora " , Mondadori ) , Gian Carlo Roscioni ( con " Il desiderio delle Indie " , Einaudi ) .
itwac	La cosa è piuttosto curiosa e di sicuro interesse per gli specialisti , ma assume un interesse più generale se si pensa che l' area F 5 della corteccia cerebrale delle [SEP] scimmie [SEP] corrisponde , nell' uomo , all' area 44 di Broodman , la cosiddetta area di Broca : un' area che presiede alle funzioni del linguaggio .
itwac	Eccola la [SEP] scimmia [SEP] che vi fa gol " .
itwac	Oshitani ha citato la febbre emorragica ( Ebola ) , il cui virus verrebbe dalle [SEP] scimmie [SEP] , e il virus di Nipah , dai pipistrelli .
itwac	Elogio dell' infezione di Pino Donghi - Parte prima Teorie della mente - Mente e motricità di Alberto Oliverio - Coscienza della [SEP] scimmia [SEP] / coscienza umana : una prospettiva informata dal linguaggio e dalla cultura di Sue Savage-Rumbaugh - L' infanzia della mente : ciò che i bambini ci insegnano su noi stessi di Andrew N. Meltzoff - Il talento di Michael J.A. Howe - Percezione e illusioni di Richard L. Gregory - Mente e informazione di Giuseppe O. Longo - Parte seconda .
itwac	I nativi [SEP] Scimmia [SEP] hanno il dono di saper comunicare con tutti : sono cortesi , affabili e , soprattutto , convincenti .
itwac	Guardando s' impara Le due [SEP] scimmie [SEP] Horatio e Oberon potrebbero aver contribuito a risolvere il mistero dell' arte imitativa dei primati .
itwac	A questo punto mancano soltanto una [SEP] scimmia [SEP] ben vestita , un pitone silenzioso , un castoro con la rabbia , un coniglio immaginario e un cane sensitivo che ulula .
itwac	Non è stato possibile salvare nemmeno una [SEP] scimmia [SEP] , ma questo non significa che non siano nei nostri cuori .
itwac	Il vaccino contiene questa proteina e l' idea sulla quale si scommette - per ora con il conforto di studi sulle [SEP] scimmie [SEP] - è che una volta arrivata nel corpo delle persone e riconosciuta estranea dai globuli bianchi si attivi una risposta immunitaria utile a vincere l' attacco del virus .
itwac	Durante gli anni Settanta , invece , lo studio di molti etologi si è concentrato su un' altra razza di [SEP] scimmie [SEP] individuata in Congo da alcune spedizioni di scienziati giapponesi e occidentali : i bonobo .
itwac	Qui va precisato che l' uomo non si è solo evoluto da una [SEP] scimmia [SEP] , ma che l' uomo è una scimmia .
itwac	- osserva digrignando i denti [SEP] Scimmia [SEP] .
itwac	Nel 1962 l' Oms ha sentito il bisogno di negare l' esistenza di una dipendenza da sigarette , basandosi su una ricerca su una [SEP] scimmia [SEP] .
itwac	Se egli non è che una " [SEP] scimmia [SEP] nuda " - naked ape - ( Morris 1967 ) che cosa proibisce di trattarlo al pari degli altri esseri viventi ?
itwac	Seguito di " Il pianeta delle [SEP] scimmie [SEP] " 1968 .
itwac	D : Che ne dici del lavoro svolto riguardo al tema della personalita' delle [SEP] scimmie [SEP] ?
itwac	La [SEP] Scimmia [SEP] è il nono dei dodici animali , che hanno accolto l' appello di Buddha prima che questi lasciasse la terra .
itwac	Dopo poco tempo la [SEP] scimmia [SEP] suonava sull' ottava e insisteva a suonare sempre quella .
itwac	fisher sentite ragazzi questo gico ti fa pisciare sotto da tutte le c ***** e che ci sono sopratutto quella della [SEP] scimmia [SEP] vs serpente millou fa c **** e davvero penoso non posso crederci che siano caduti cosi in basso !!!!!!!! Snake Eater Un appunto per CONTOQUANTOKUNTACHINTEEQUANTOKUNTACHINTECANTO ; Rocky 6 non esiste c ***** e !!!
itwac	L' eccezione è la [SEP] scimmia [SEP] nuda , che si è data il nome di Homo sapiens .
itwac	Molte [SEP] scimmie [SEP] e una guardia che gentilmente prende la nostra bottiglia d' acqua vuota e la lancia oltre il muro ...
itwac	[ Diario delle ricerche di un primatologo sui babbuini in Africa ] Schultz , Adolph H. - I primati - Milano : Garzanti , 1974 Stanford , Craig B. - Scimmie cacciatrici ; traduzione di Isabella C. Blum - Milano : Longanesi , [ 2001 ] Steedman , Scott - Il mondo delle scimmie - Milano : A. Mondadori , 1991 Tartabini , Angelo - BIOLOGIA ED EVOLUZIONE DEL COMPORTAMENTO ANIMALE E UMANO - FrancoAngeli , 1994 Tartabini , Angelo - Il mondo delle [SEP] scimmie [SEP] - Padova : F. Muzzio , 1992 Tartabini , Angelo - L' uomo allo specchio : uomini e scimmie a confronto / Angelo Tartabini - Roma : Il pensiero scientifico , 1997 Tartabini , Angelo - Una scimmia in tutti noi - Mondadori Bruno Tattersall , Ian - LA SCIMMIA ALLO SPECCHIO Meltemi editore Tattersall , Ian : Il cammino dell' uomo .
itwac	Per la sperimentazione pre-clinica finora erano disponibili soltanto modelli in vitro e modelli SIV / [SEP] scimmia [SEP] .
itwac	Altra tipologia , abbastanza diffusa anche in Europa , è quella dell' uomo elefante e dell' uomo delle selve , o uomo [SEP] scimmia [SEP] , con folta barba e peli in tutto il corpo ( l' analogo femminile è la donna barbuta ) .
itwac	Paradossalmente , al momento di assegnargli il film , i direttori dello studio gli chiesero di non comporre musica originale , ma di usare vecchi pezzi da film precedenti : consideravano il film un probabile fallimento , l' effetto speciale della [SEP] scimmia [SEP] gigante non credibile , e non volevano spenderci altri soldi .
itwac	Ma gli individui si innamorano lo stesso : un colombo si incrocia con una [SEP] scimmia [SEP] , un topo con una salamandra , con il risultato che nascono curiosi ibridi spediti immediatamente in esilio .
itwac	e cmq ti ricordo che queste [SEP] scimmie [SEP] ti sc ...
itwac	Riscendiamo le scale scalzi fra le cacche delle [SEP] scimmie [SEP] e torniamo a Nyu .
itwac	mayde | 7 Novembre 2003 | 13:16 Dei miei momenti al circo mia madre ha una rappresentativa foto nel soggiorno : avevo sei anni e la cosiddetta finestrella , quell' antipatico vuoto che ti lasciano gli incisivi quando stai perdendo i denti da latte , una busta di patatine " più gusto " nella mano , esalanti puzzo cipolla , e nell' altra la zampa di una [SEP] scimmia [SEP] che simpaticamente mi abbraccia .
itwac	Le [SEP] scimmie [SEP] vengono divise in due gruppi : quelle della foresta e quelle della savana .
