corpus	sentence
itwac	E' il caso delle magliette Chupa Chups , dai colori [SEP] pastello [SEP] che ricordano l' involucro dei famosi lecca lecca o quelle firmate Makako , dai color classici come bianco , rosso , azzurro o rosa e con l' immagine del famoso personaggio manga stampata su .
itwac	Fino ancora a quando i suoi occhi cominciano ad indebolirsi , abbandonando sempre più l' olio a favore del [SEP] pastello [SEP] e dei grandi formati .
itwac	il kiaroscuro è una tecnica a matita , per cui ti serve unicamente quella ( poi potrai passare anke a carboncini [SEP] pastelli [SEP] quello ke vuoi ma x ora matita ) .
itwac	ho scoperto da poco la tecnica del [SEP] pastello [SEP] ( quelli morbidi ) ...
itwac	Tra uno stacco di biglietti e l' altro , c' è un capolavoro urbanistico da gustare : i lungofiume che dominano il Salzach , vicoli e strade su cui si affacciano edifici color [SEP] pastello [SEP] , il giardino di Mirabell , cortili interni deliziosamente fioriti che portano dalla piazza del mercato alla più celebre via cittadina , la Getreidegasse , e tanto altro ancora .
itwac	Mi adoro per tutti i [SEP] pastelli [SEP] che sono riuscita a dare , per l' oro delle mie parole , per la verita' dei miei sentimenti .
itwac	Detto ciò ritorniamo per un attimo al 2000 , quando Kim Hansen fece il suo esordio come Antenne ( dopo una lunga gavetta di diversa natura ) e si propose con un album in cui il trip hop veniva intersecato con varie forme di suono elettronico e un feeling pop da un lato e avanguardista dall' altro , donando al tutto tinte [SEP] pastello [SEP] tendenti allo scuro , al di là del fatto che si trattava di un' opera perfettamente concepita e finalizzata .
itwac	GLI AMBIENTI : sperimentando e giocando con segni vari lasciati da strumenti grafici diversi ( matita , carboncino , pennarelli con punte di spessore diverso , [SEP] pastelli [SEP] a cera ) ma tutti rigorosamente neri realizzazione di una lunga striscia con il disegno di alcuni tipi di paesaggio e di ambienti individuati dai bambini : città , bosco , mare , campagna , montagna ecc ...
itwac	Applicare uno smalto rosato , color carne o dalle tinte [SEP] pastello [SEP] , su tutta la lunghezza dell' unghia e lasciarlo asciugare naturalmente .
itwac	Le tonalità di colore conferite dal Sassetto di Cotto ( Cocciopesto Romano originale ) o dal Pidocchino di Cotto ( Cocciopesto [SEP] Pastello [SEP] ) sono ovviamente su base rosso-rosa puntiforme .
itwac	Massima sicurezza : la lama della taglierina è coperta ed esce solo 10,30 DMail 76 [SEP] Pastelli [SEP] a cera colorati !
itwac	Verde , superfici lisce e tonde , colori [SEP] pastello [SEP] , atmosfera che suggerisce flusso , ma anche pace e tranquillità fra i piazzali dei parcheggi e le zone di sosta ai piedi di qualche luccicante curtain-wall ingentilita da un portico neoqualcosa .
itwac	Rosso fuoco , porpora intenso , marrone e viola , ma anche i colori [SEP] pastello [SEP] , arancio , giallo , rosa pallido e il classico fondo base naturale .
itwac	Donna che fa il bagno ( Edgar Degas ) Donna che fa il bagno ( Edgar Degas ) " Donna che fa il bagno " è un dipinto a [SEP] pastello [SEP] ( o monotipo ripassato a pastello ) di cm 19 ...
itwac	Usando il [SEP] pastello [SEP] grasso o l' inchiostro litografico , l' artista disegna o vernicia un' immagine sulla piastra .
itwac	Trovando ispirazione in alcuni scritti di Chiara Lubich , Ermes Rigon presenta alcune opere ( tele , disegni , oli , chine , [SEP] pastelli [SEP] , bronzi , acrilici ) ( nella foto , una delle opere in mostra ) della sua più che trentennale ricerca artistica , attraverso i quali desidera offrire , alla conclusione dell' anno mariano , un piccolo omaggio alla Madonna .
itwac	con [SEP] pastelli [SEP] d' illusione .
itwac	Colore : rosa [SEP] pastello [SEP] .
itwac	Semplicemente perchè quando gli altri bambini giocavano col pongo , con la pasta al sale , dipingevano , scarabocchiavano con i [SEP] pastelli [SEP] a cera , insomma lavoravano con le loro manine , lei non faceva mai nulla , perchè aveva le mani impegnate a tener stretta il suo biberon da passeggio !
itwac	La guida a colori , formato 21 x 10 cm , a 24 ante , riproduce nella prima facciata la stampa tridimensionale eseguita a china e colori [SEP] pastello [SEP] della mappa del centro storico con le foto e la descrizione dei principali monumenti , collocati sull' itinerario consigliato ed evidenziato in colore giallo : si tratta della medesima stampa collocata nei pannelli turistici in ferro battuto , posti agli ingressi della citta' .
itwac	) ; la presenza di materiale e di strumenti canonici e spiazzanti per stimolare la curiosità a manipolare , sperimentare , creare ( carte di ogni tipoe colore , pennelli , pennellesse , pennelli da barba , cannucce , spruzzatori , contagocce , spugne , rulli , gessetti , paste alimentari , tempere , pennarellia punte diverse , [SEP] pastelli [SEP] , colori a cera ...
itwac	Ci saranno circa ottanta opere : [SEP] pastelli [SEP] , grandi tele , oli e disegni su carta da pacchi .
