corpus	sentence
itwac	Gli sposini Alex e Sonia Del Piero in campo Video : mare e lune di miele per l' estate Insomma il " [SEP] passerotto [SEP] " della Juve è riuscito ad evitare qualunque pubblicità , ma allo stesso tempo ha scatenato la curiosità degli esperti del pettegolezzo .
itwac	Dai 2 anni Domenica 8,15,22,29 maggio 2005 Parchi cittadini Il Gruppo Libero Teatro Come il lombrico mangia il [SEP] passerotto [SEP] Strane presenze nel parco - spettacolo per i parchi su biodiversità e sviluppo sostenibile per un pubblico di tutte le età Attraverso la rappresentazione Come il lombrico mangia il passerotto , gli spettatori vengono invitati ad " esplorare " i parchi con modalità inconsuete .
itwac	Amelio [SEP] Passerotti [SEP] , quale legale rappresentante della predetta società , era indagato , in concorso con illegale rappresentante della spa Porto Petroli di Genova , Italo Righi , con illegale rappresentante della sri Co.A.A.L. , Costante Rocco , e con altri , per i reati continuati p. e p. dall' art. 51 , comma 1 , lett. b ) , D.L.vo 22/1977 ( trasporto di rifiuti speciali pericolosi in assenza della prescritta iscrizione all' albo speciale gestori rifiuti ) e dall' art. 52 , comma 3 , D.L.vo 22/1977 in relazione all' art. 483 c.p. ( trasporto di rifiuti pericolosi senza iI prescritto formulario identificativo ) .
itwac	Maria non si dispiace per nulla della fuga precipitosa del [SEP] passerotto [SEP] anzi ride , ride e continua a battere le manine felice ed emozionata .
itwac	parlava , il Tar toscano si pronuncia contro le deroghe sulla caccia e salva 750.000 [SEP] passerotti [SEP] .
itwac	Giunta la sera , il motociclista va a dormire , sperando che il [SEP] passerotto [SEP] si riprenda .
itwac	" Tranquillo , [SEP] passerotto [SEP] , è tutto finito .
itwac	quando la macchina è pulita e ci caga sopra qualche [SEP] passerotto [SEP] .
itwac	È interessante segnalare come abbiano aderito alla mostra due tra le più importanti pinacoteche europee come la Gemaldegalerie di Berlino con un' opera di Bartolomeo [SEP] Passerotti [SEP] e il Kunsthistorisches Museum di Vienna con uno stupendo ritratto di Monsignor Giuliano della Rovere di Federico Barocci .
itwac	Per sentire il canto dei [SEP] passerotti [SEP] basta chiudere gli occhi e stare in silenzio ...
itwac	[SEP] passerotto [SEP] non andare via ...
itwac	Forse si vergognano , o temono che non si possa dare da mangiare agli uccellini , ma questi sono [SEP] passerotti [SEP] , chi mai potrebbe vietare loro qualche briciola sicura ?
itwac	I [SEP] Passerotti [SEP] ...
itwac	A sinistra , bel " Ritratto di giovane musico " del bolognese Bartolomeo [SEP] Passerotti [SEP] , databile circa al 1560 - 65 .
itwac	Se n' è accorta ieri una signora residente in via Goldoni che ha notato dal suo terrazzo una famigliola di [SEP] passerotti [SEP] appena nati alle prese con afa e siccità e in pericolo di vita per il sole che batteva senza sosta sui corpicini degli animali .
itwac	Dai rami degli alberi che circondano la casa il cinguettìo dei [SEP] passerotti [SEP] preannuncia l' alba .
itwac	Ma , tornando al pronunciamento del Tar a favore dei [SEP] passerotti [SEP] , il Panda , ripercorrendo brevemente le tappe di questa disputa tra mondo ambientalista e mondo venatorio , ricorda che con il Decreto Regionale n. 170 del 17 settembre 2001 , la Toscana aveva permesso di cacciare le due specie di passeri dal 17 settembre al 31 gennaio 2002 .
itwac	Lesbia , sicuramente lusingata dall' attenzione di Catullo , visse la vicenda come un' avventura , una delle tante , mentre Catullo , perdutamente innamorato , diede tutto se stesso alla donna amata ; anche nelle piccole cose , per consolarla di un leggero dolore , come in occasione della morte del suo [SEP] passerotto [SEP] ( CARME 3 ) L' amore , così come la poesia , in questo momento felice è per Catullo lusus puro , naturale , spontaneo ; il poeta , pur nell' ebbrezza della felicità , non può scordare il fatto ineluttabile che la vita , così come il piacere , è destinata a durare poco .
itwac	;) Diamond Phoenix [SEP] Passerotti [SEP] , credo che stiate leggermente divagando .
itwac	- Un giorno nuovo sembra entrare dalla mia finestra col suo fascio di luce e di colori sento il canto acuto dei [SEP] passerotti [SEP] soprastare il rombo ovattato delle automobili .
itwac	Bandito Iscritto dal : 6/8/2003 Messaggi : 396 Da : Cernusco - Milano Un [SEP] passerotto [SEP] si lancia dal nido e , con i pochi rudimenti ricevuti dai genitori , comincia ad esplorare il mondo .
itwac	Gli argomenti delle sue commedie sono legati agli ambienti e al repertorio partenopeo , e prendono spunto dalla cronaca e da temi sociali : l' handicap in [SEP] Passerotti [SEP] e pipistrelli ?
itwac	Così dall' imponente aquila ' catturata ' dall' agenzia Abrinicio per far salire in vetta alle vendite intere cassette di Acqua Prata , si passa al timido ma pervicace [SEP] passerotto [SEP] che , spot dopo spot , accompagna Alessandro Del Piero in progressive bevute di acqua Uliveto .
itwac	E' tempo che tu accolga le rondini in arrivo e ne riassetti il nido in fretta abbandonato , è ora che tu svegli ricci e tartarughe per invitarli a uscire al tepore e alla luce ; non perderti il colore del mare che diventa più azzurro , il profumo dei fondali di posidonia in fiore e il chiasso dei gabbiani eccitati dal sole ; guarda fra poco l' esultanza di peschi ed albicocchi e i merli e i [SEP] passerotti [SEP] che indugiano sicuri tra primule e narcisi ; il ronzio degli insetti è più deciso , le lucertole riposano sul solatìo dei muri : c' è voglia d' aria nuova e pulsare di vita intorno a te ...
itwac	E forse quei [SEP] passerotti [SEP] , anche loro , ripetevano al vecchio albero le solite frasi , gli inutili consigli , i vani ammonimenti , che si sogliono dare ai caduti , a gli sconsolati : « Fatti coraggio !
itwac	Continua il testo : Infatti , anche il [SEP] passerotto [SEP] s' è trovato una casa e la tortora un nido , ove collocare i suoi piccoli .
itwac	che un piccolo [SEP] passerotto [SEP] quando prova a volare , se viene investito da una folata troppo forte di vento , non solo cadrà dal ramo , ma non troverà il coraggio di rialzarsi e riprovare a volare .
itwac	SOLISTA : C' è dentro un [SEP] passerotto [SEP] col fiocco tutto rosso e i gatti bianchi e neri e chicchi di caffè !
itwac	" Due [SEP] Passerotti [SEP] Due passerotti se ne stavano beatamente a prendere il fresco sulla stessa pianta , che era un salice .
itwac	La nuova serie di esperimenti è avvenuta ieri pomeriggio , tra le 18 e le 19 e ha visto protagonisti il maratoneta Gorilla Eucalipto , a sorpresa l' immancabile [SEP] Passerotto [SEP] Olmo e Merlo Papavero , presenti Antilope Verbena per i controlli sanitari e Sirena Ninfea con il suo " gruppo rock " oracolare .
itwac	Tua madre ora si sente come un [SEP] passerotto [SEP] spaurito che deve lasciare il nido , scoprire ciò che di meglio la vita può darmi come Tu mi hai insegnato , imparare a volare da sola qundo ci provo ...
itwac	Voglio lavorare ma nessuno mi caga se non per fare il disegnatore ( Me 10 AutoCad et similia ) o peggio come mi é capitato disegnare tutto il giorno scatole con Pro / E ( della serie andiamo a caccia di [SEP] passerotti [SEP] con un bazzuka ) e aggiornare distinta base ...
itwac	Uno stimato giurista sosteneva l' inammissibilità del referendum poiché ad esempio un cittadino può essere d' accordo a non cacciare il [SEP] passerotto [SEP] , ma potrebbe essere d' accordo sulla caccia al fagiano .
itwac	Sua è anche l' idea del nome d' arte di quell' artista piccola , minuta , dagli occhi grandi e dalla voce possente e drammatica : " Piaf " , che nell' argot parigino vuol dire " [SEP] Passerotto [SEP] " .
itwac	La soddisfazione del WWF che aveva fatto ricorso e , proprio il giorno prima , scritto una lettera al Papa nella quale , con molto humor , si faceva mettere in evidenza allo stesso Poverello di Assisi la scarsa attenzione che l' Italia ha per gli animali " In seguito al ricorso presentato dal WWF e dalla Lipu Toscana , il Tar della Toscana ha bloccato per il secondo anno consecutivo la possibilità di cacciare la Passera d' Italia Passer italiae ( il comune [SEP] passerotto [SEP] ) e la Passera mattugia Passer montanus , in attesa di valutare nel merito la questione della deroga alla caccia per le specie in questione " .
itwac	[SEP] Passerotto [SEP] non più rannicchiato sotto l' albero a cercare la verità nella Poesia l' amore tra gli uomini che non sanno amare .
itwac	[SEP] passerotto [SEP] non andare via , senza i tuoi capricci che faro' ...
itwac	Vedevo degli uccelli molto piccoli forse erano dei [SEP] passerotti [SEP] , svolazzavano tranquilli ...
itwac	Uno di loro vedendolo disse che era così brutto il [SEP] passerotto [SEP] che non valeva la pena di raccoglierlo , ma l' altro , il più piccolo , disse che lo avrebbe raccolto lui e che lo avrebbe fatto vedere alla sua mamma sperando di poterlo pulire .
itwac	PASSEROTTO NON ANDARE VIA , il [SEP] passerotto [SEP] dov' è andato , nella ?
itwac	) 2 ) qualche anno fa avevo in casa l' unico [SEP] passerotto [SEP] ( oltre a quello di Del Piero ) dotato di personalità : non mi poteva vedere ( eppure non lo calcolavo minimamente ) e se solo mi avvicinavo alla gabbia ( per fare i cavoli miei ) si gonfiava , alzava le penne , allargava le ali e apriva il becco facendo un verso che poteva essere assimilato al ringhiare di un cane ...
itwac	Quelle parole così immanenti afflosciarono la voce di Edith che di colpo si spezzò e il " [SEP] passerotto [SEP] " della canzone cadde a terra svenuta .
itwac	Cavalli , cani , scarafaggi , mucche , [SEP] passerotti [SEP] , zebre , squali , bisce , coccinelle , cornacchie , tigri , conigli , giraffe ...
itwac	- Quel che la Principessa vorrà ; [SEP] passerotto [SEP] o pettirosso .
itwac	Un giorno come l' altro antiche case di mattoni di borghi silenziosi dove a sprazzi giunge il sole chiacchiericci di donne due gatti si rincorrono lento il passare del tempo semplici le storie come già vissute prima un nuovo nato fra noi un altro se n' è andato un [SEP] passerotto [SEP] su una grondaia guarda la torre vicina in silenzio il tempo scorre quasi con pudore tace la meridiana sulla piazza dove si posa il sole
itwac	Le panchine vuote emanavano tristezza , la stradina polverosa si stava scurendo , i [SEP] passerotti [SEP] si erano giudiziosamente ritirati , solo le formiche continuavano il loro lavoro , e io cominciavo a sperare .
itwac	Gesù , designando il mistero divino col termine « Padre » , rivela che la presenza attiva e fecondatrice di Dio è operante nella sua persona e , per partecipazione , essendo Cristo colui che riporta tutte le creature al loro centro originario , nelle manifestazioni particolari di ogni essere creato , È il Padre che riveste di bellezza i gigli del campo , che vigila amoroso sui [SEP] passerotti [SEP] , che non permette la caduta di un solo capello senza il suo volere .
itwac	Il progetto perseguito dalla contessa Cavazza di un recupero degli antichi modelli ( a cui si affiancavano disegni originali spesso basati su schizzi di Rubbiani ) , attraverso cui fondare un miglioramento del gusto ed un rilancio dell' artigianato di qualità , trova forse il suo esempio più significativo nella realizzazione a merletto da parte delle lavoranti Aemilia Ars del cinquecentesco libro dei lauorieri di Aurelio [SEP] Passerotti [SEP] , di proprietà della famiglia Malvezzi .
