Word	Category
orso	bear	bear.n.01
cane	dog	dog.n.01
cavallo	horse	horse.n.01
scimmia	monkey	monkey.n.01
gufo	owl	owl.n.01
coniglio	rabbit	rabbit.n.01
gabbiano	seagull	gull.n.02
passero	sparrow	sparrow.n.01,sparrow.n.02
elefante	elephant	elephant.n.01
gatto	cat	cat.n.01
leone	lion	lion.n.01
maiale	pig	pig.n.01
mucca	cow	cow.n.01,cow.n.02
serpente	snake	snake.n.01
tigre	tiger	tiger.n.02
topo	mouse	mouse.n.01
poltrona	armchair	armchair.n.01
letto	bed	bed.n.01
scopa	broom	broom.n.01
sedia	chair	chair.n.01
camicia	shirt	shirt.n.01
armadio	wardrobe	wardrobe.n.01
pettine	comb	comb.n.01
giacca	jacket	jacket.n.01
pennello	paintbrush	paintbrush.n.01,brush.n.02
spada	sword	sword.n.01
gomma	rubber	rubber.n.04
pastello	crayon	crayon.n.01
penna	pen	pen.n.01
quaderno	notebook	notebook.n.01
tenda	curtain	curtain.n.01
vaso	vase	vase.n.01
